TE_type	No5mC
DNA/CMC-Chapaev-3	214
DNA/hAT-Charlie	10
DNA/PIF-ISL2EU	108
DNA/PiggyBac	183
DNA/TcMar-ISRm11	178
DNA/TcMar-Mariner	367
DNA/TcMar-Pogo	93
DNA/Zisupton	65
LINE/L1	2440
LINE/L1-Tx1	6362
LTR	164
LTR/Copia	83
LTR/ERVK	43
LTR/ERVL	64
LTR/Gypsy	67206
LTR/Unknown	25701
RC/Helitron	1190
RC/Helitron-2	961
Unknown	160002
